type_of_service,actual_year,actual_year,actual_year_month,vessel_country_code,count,row_num,country_name
Container Station,2018,2018,2018-11,LR,8814,1,Liberia
Container Station,2018,2018,2018-11,PA,8262,2,Panama
Container Station,2018,2018,2018-11,HK,7240,3,Hong Kong
Container Station,2018,2018,2018-11,SG,6453,4,Singapore
Container Station,2018,2018,2018-11,US,4328,5,United States
Container Station,2018,2018,2018-11,GB,4235,6,United Kingdom
Container Station,2018,2018,2018-11,DK,3559,7,Denmark
Container Station,2018,2018,2018-11,MT,2757,8,Malta
Container Station,2018,2018,2018-11,DE,1540,9,Germany
Container Station,2018,2018,2018-11,MH,1350,10,Marshall Islands
Container Station,2018,2018,2018-12,SG,10052,1,Singapore
Container Station,2018,2018,2018-12,LR,8508,2,Liberia
Container Station,2018,2018,2018-12,PA,8284,3,Panama
Container Station,2018,2018,2018-12,HK,8037,4,Hong Kong
Container Station,2018,2018,2018-12,US,4218,5,United States
Container Station,2018,2018,2018-12,GB,3768,6,United Kingdom
Container Station,2018,2018,2018-12,DK,2714,7,Denmark
Container Station,2018,2018,2018-12,MT,2407,8,Malta
Container Station,2018,2018,2018-12,DE,1790,9,Germany
Container Station,2018,2018,2018-12,MH,1162,10,Marshall Islands
Container Station,2019,2019,2019-01,LR,10287,1,Liberia
Container Station,2019,2019,2019-01,SG,8542,2,Singapore
Container Station,2019,2019,2019-01,HK,7326,3,Hong Kong
Container Station,2019,2019,2019-01,PA,7265,4,Panama
Container Station,2019,2019,2019-01,US,3953,5,United States
Container Station,2019,2019,2019-01,DK,3509,6,Denmark
